2017.08.01,15:05,1.1802,1.18029,1.17999,1.18009
2017.08.01,15:15,1.18026,1.18029,1.18003,1.18023
2017.08.01,15:25,1.18019,1.18025,1.18008,1.1801
2017.08.01,15:35,1.18006,1.18017,1.18001,1.18014
2017.08.01,15:45,1.18006,1.18011,1.18002,1.18008
2017.08.01,15:55,1.17994,1.18013,1.17993,1.18004
2017.08.01,16:05,1.18017,1.18018,1.18013,1.18015
2017.08.01,16:15,1.18016,1.18016,1.18006,1.18006
2017.08.01,16:25,1.18023,1.1803,1.18008,1.18008
2017.08.01,16:35,1.17995,1.18028,1.17991,1.18027
2017.08.01,16:45,1.18006,1.18022,1.17996,1.18018
2017.08.01,16:55,1.18011,1.18019,1.18005,1.18009
2017.08.01,17:05,1.18008,1.18008,1.18001,1.18001
2017.08.01,17:15,1.18029,1.18029,1.17967,1.17984
2017.08.01,17:25,1.18015,1.1806,1.18011,1.18019
2017.08.01,17:35,1.18033,1.18041,1.17993,1.18027
2017.08.01,17:45,1.18045,1.18049,1.18045,1.18049
2017.08.01,17:55,1.18041,1.18054,1.18034,1.18046
2017.08.01,18:05,1.18065,1.1807,1.18058,1.18059
2017.08.01,18:15,1.1807,1.1809,1.18068,1.18083
2017.08.01,18:25,1.18099,1.18108,1.18099,1.18101
2017.08.01,18:35,1.18096,1.18099,1.18091,1.18094
2017.08.01,18:45,1.18077,1.18093,1.18052,1.18071
2017.08.01,18:55,1.18058,1.18062,1.18043,1.18047
2017.08.01,19:05,1.18075,1.18097,1.18073,1.18087
2017.08.01,19:15,1.18075,1.18088,1.18073,1.18079
2017.08.01,19:25,1.18085,1.18085,1.18074,1.18074
2017.08.01,19:35,1.18036,1.18041,1.18026,1.18033
2017.08.01,19:45,1.1804,1.18064,1.1804,1.18056
2017.08.01,19:55,1.18092,1.1812,1.18092,1.18115
2017.08.01,20:05,1.18105,1.18105,1.18066,1.18099
2017.08.01,20:15,1.18086,1.18089,1.18067,1.18086
2017.08.01,20:25,1.18101,1.18101,1.18084,1.18089
2017.08.01,20:35,1.18127,1.18137,1.18125,1.18132
2017.08.01,20:45,1.18153,1.18175,1.18146,1.1816
2017.08.01,20:55,1.18134,1.18141,1.18115,1.18132
2017.08.01,21:05,1.18132,1.18137,1.18132,1.18132
2017.08.01,21:15,1.18107,1.1811,1.18099,1.18104
2017.08.01,21:25,1.18088,1.18089,1.18053,1.18058
2017.08.01,21:35,1.18092,1.18095,1.18047,1.18047
2017.08.01,21:45,1.1804,1.1804,1.17943,1.17943
2017.08.01,21:55,1.17989,1.18002,1.17978,1.17998
2017.08.01,22:05,1.17973,1.18001,1.17973,1.17998
2017.08.01,22:15,1.18009,1.18009,1.17987,1.17999
